key,peak_memory,increment
0_SVC,2273.71,47.3
0_LR,2241.44,0.29
0_RF,2594.19,352.76
0_ANN,2311.16,33.06
0_CNN1D,2314.84,7.92
0_CNN2D,2321.53,11.48
1_SVC,2349.0,32.99
1_LR,2317.47,1.02
1_RF,2747.62,431.18
1_ANN,2334.16,26.75
1_CNN1D,2338.12,7.19
1_CNN2D,2344.95,11.41
2_SVC,2380.11,32.96
2_LR,2348.58,1.02
2_RF,2635.2,287.63
2_ANN,2350.96,24.68
2_CNN1D,2354.99,8.14
2_CNN2D,2361.86,11.7
3_SVC,2389.03,32.69
3_LR,2358.52,1.02
3_RF,2657.58,300.09
3_ANN,2364.57,22.96
3_CNN1D,2369.05,7.8
3_CNN2D,2376.68,11.62
4_SVC,2402.83,31.73
4_LR,2372.32,1.02
4_RF,2793.92,422.62
4_ANN,2373.17,22.09
4_CNN1D,2376.51,7.25
4_CNN2D,2384.26,11.71
5_SVC,2411.59,32.91
5_LR,2380.06,1.02
5_RF,2795.75,416.71
5_ANN,2363.96,28.0
5_CNN1D,2367.57,7.68
5_CNN2D,2374.49,11.89
6_SVC,2401.21,32.24
6_LR,2370.7,1.02
6_RF,2838.95,469.27
6_ANN,2417.85,10.6
6_CNN1D,2421.44,7.76
6_CNN2D,2429.12,11.63
7_SVC,2456.25,32.66
7_LR,2423.75,0.04
7_RF,2850.25,426.5
7_ANN,2387.77,24.32
7_CNN1D,2391.42,7.0
7_CNN2D,2398.98,12.01
8_SVC,2426.02,32.57
8_LR,2394.49,1.02
8_RF,2867.8,474.33
8_ANN,2447.4,7.87
8_CNN1D,2450.01,6.4
8_CNN2D,2457.78,11.77
9_SVC,2485.29,33.04
9_LR,2453.84,1.1
9_RF,2883.03,430.21
9_ANN,2465.02,5.72
9_CNN1D,2465.19,7.37
9_CNN2D,2472.88,11.65
